x,P0,dP0_dx,P1,dP1_dx,P2,dP2_dx,P3,dP3_dx,P4,dP4_dx,P5,dP5_dx
-0.44,1,0,-0.44,1,-0.2096,-1.32,0.44704,-0.048,-0.187021,1.80928,-0.209512,-1.73119
-0.43,1,0,-0.43,1,-0.22265,-1.29,0.446232,-0.11325,-0.168802,1.83363,-0.226333,-1.63247
-0.42,1,0,-0.42,1,-0.2354,-1.26,0.44478,-0.177,-0.150363,1.85346,-0.242149,-1.53027
-0.41,1,0,-0.41,1,-0.24785,-1.23,0.442697,-0.23925,-0.131748,1.86888,-0.256928,-1.42498
-0.4,1,0,-0.4,1,-0.26,-1.2,0.44,-0.3,-0.113,1.88,-0.27064,-1.317
-0.39,1,0,-0.39,1,-0.27185,-1.17,0.436702,-0.35925,-0.094162,1.88692,-0.28326,-1.20671
-0.38,1,0,-0.38,1,-0.2834,-1.14,0.43282,-0.417,-0.0752753,1.88974,-0.294768,-1.09448
-0.37,1,0,-0.37,1,-0.29465,-1.11,0.428367,-0.47325,-0.0563805,1.88857,-0.305145,-0.980674
-0.36,1,0,-0.36,1,-0.3056,-1.08,0.42336,-0.528,-0.0375168,1.88352,-0.314377,-0.865651
-0.35,1,0,-0.35,1,-0.31625,-1.05,0.417812,-0.58125,-0.0187227,1.87469,-0.322455,-0.749754
-0.34,1,0,-0.34,1,-0.3266,-1.02,0.41174,-0.633,-3.53e-05,1.86218,-0.32937,-0.633318
-0.33,1,0,-0.33,1,-0.33665,-0.99,0.405157,-0.68325,0.018509,1.8461,-0.33512,-0.516669
-0.32,1,0,-0.32,1,-0.3464,-0.96,0.39808,-0.732,0.0368752,1.82656,-0.339704,-0.400123
-0.31,1,0,-0.31,1,-0.35585,-0.93,0.390522,-0.77925,0.055029,1.80366,-0.343124,-0.283989
-0.3,1,0,-0.3,1,-0.365,-0.9,0.3825,-0.825,0.0729375,1.7775,-0.345386,-0.168562
-0.29,1,0,-0.29,1,-0.37385,-0.87,0.374027,-0.86925,0.0905685,1.74819,-0.346499,-0.0541331
-0.28,1,0,-0.28,1,-0.3824,-0.84,0.36512,-0.912,0.107891,1.71584,-0.346473,0.0590208
-0.27,1,0,-0.27,1,-0.39065,-0.81,0.355792,-0.95325,0.124876,1.68055,-0.345324,0.17063
-0.26,1,0,-0.26,1,-0.3986,-0.78,0.34606,-0.993,0.141493,1.64242,-0.343067,0.280434
-0.25,1,0,-0.25,1,-0.40625,-0.75,0.335937,-1.03125,0.157715,1.60156,-0.339722,0.388184
-0.24,1,0,-0.24,1,-0.4136,-0.72,0.32544,-1.068,0.173515,1.55808,-0.335311,0.493637
-0.23,1,0,-0.23,1,-0.42065,-0.69,0.314582,-1.10325,0.188868,1.51208,-0.329857,0.596562
-0.22,1,0,-0.22,1,-0.4274,-0.66,0.30338,-1.137,0.203749,1.46366,-0.323388,0.696738
-0.21,1,0,-0.21,1,-0.43385,-0.63,0.291847,-1.16925,0.218134,1.41293,-0.315932,0.793952
-0.2,1,0,-0.2,1,-0.44,-0.6,0.28,-1.2,0.232,1.36,-0.30752,0.888
-0.19,1,0,-0.19,1,-0.44585,-0.57,0.267852,-1.22925,0.245327,1.30497,-0.298184,0.978689
-0.18,1,0,-0.18,1,-0.4514,-0.54,0.25542,-1.257,0.258093,1.24794,-0.287958,1.06583
-0.17,1,0,-0.17,1,-0.45665,-0.51,0.242717,-1.28325,0.270279,1.18902,-0.276879,1.14926
-0.16,1,0,-0.16,1,-0.4616,-0.48,0.22976,-1.308,0.281867,1.12832,-0.264986,1.2288
-0.15,1,0,-0.15,1,-0.46625,-0.45,0.216562,-1.33125,0.29284,1.06594,-0.252317,1.30431
-0.14,1,0,-0.14,1,-0.4706,-0.42,0.20314,-1.353,0.303181,1.00198,-0.238914,1.37563
-0.13,1,0,-0.13,1,-0.47465,-0.39,0.189507,-1.37325,0.312875,0.936552,-0.224819,1.44262
-0.12,1,0,-0.12,1,-0.4784,-0.36,0.17568,-1.392,0.321907,0.86976,-0.210076,1.50516
-0.11,1,0,-0.11,1,-0.48185,-0.33,0.161672,-1.40925,0.330266,0.801707,-0.194731,1.56314
-0.1,1,0,-0.1,1,-0.485,-0.3,0.1475,-1.425,0.337938,0.7325,-0.178829,1.61644
-0.09,1,0,-0.09,1,-0.48785,-0.27,0.133177,-1.43925,0.344912,0.662242,-0.162418,1.66496
-0.08,1,0,-0.08,1,-0.4904,-0.24,0.11872,-1.452,0.351179,0.59104,-0.145546,1.70861
-0.07,1,0,-0.07,1,-0.49265,-0.21,0.104142,-1.46325,0.35673,0.518997,-0.128262,1.74732
-0.06,1,0,-0.06,1,-0.4946,-0.18,0.08946,-1.473,0.361557,0.44622,-0.110616,1.78101
-0.05,1,0,-0.05,1,-0.49625,-0.15,0.0746875,-1.48125,0.365652,0.372812,-0.0926587,1.80962
-0.04,1,0,-0.04,1,-0.4976,-0.12,0.05984,-1.488,0.369011,0.29888,-0.0744408,1.8331
-0.03,1,0,-0.03,1,-0.49865,-0.09,0.0449325,-1.49325,0.371629,0.224527,-0.0560139,1.85141
